id,order_number,status,total_amount,shipping_provider,tracking_number,shipping_status,estimated_delivery,notes,created_at,updated_at,customer_name,customer_phone,customer_email,customer_address,products_summary
8a1aa4a3-227a-485f-819f-77095bdb3f49,1,preparing,80.0,,,,,"İş yeri adresi, gündüz saatlerinde teslim.",2026-05-08T08:07:00,2026-05-08T10:07:00,Bay Oruç Çorlu,905552166941,berentevetoglu@example.org,"1939 Nursim Common, haven, Bursa","Elma (Amasya)(1 kg), Brokoli(2 adet)"
e2c19ace-a879-45b2-bf34-4aefd34bc956,2,shipped,380.0,aras,ARAS81498611,yolda,2026-05-10,,2026-05-08T15:52:00,2026-05-08T18:52:00,Minibe Seblâ Tevetoğlu Zorlu,905504684531,kisakurekmehrigul@example.org,"60883 Şafak Cliff Suite 951, chester, Balıkesir",Kuru Kayısı(4 kg)
8de30022-3a3b-4af9-a534-c59efe1b7587,3,confirmed,363.7,,,,,,2026-05-08T16:55:00,2026-05-09T00:55:00,Sümeyye Hayrioğlu,905208090293,hyildirim@example.com,"03911 Alemdar Cliff Apt. 278, burgh, Samsun","Tereyağı(2 kg), Soğan(3 kg), Kırmızı Mercimek(4 kg)"
3fc20b95-f24d-469a-bcf2-a1af3baaca61,4,pending,56.0,,,,,"İş yeri adresi, gündüz saatlerinde teslim.",2026-05-08T16:28:00,2026-05-08T22:28:00,Dr. Hayel Aslan Dumanlı,905417637601,demirelserhatmehmet@example.org,"5812 Müslum Lights Apt. 316, view, Eskişehir",Brokoli(2 adet)
025eb701-25d6-4dfa-8227-70eb239ccd53,5,confirmed,72.0,,,,,Kapı zilini çalın lütfen.,2026-05-08T17:35:00,2026-05-08T19:35:00,Ziyaettin Aslan,905171419610,muhammetyaman@example.net,"819 Türk Burgs, ville, Eskişehir",Kuru Fasulye(2 kg)
2da1fe9e-0d1e-4d1c-b10d-ee158ac24e24,6,pending,22.0,,,,,,2026-05-08T18:03:00,2026-05-08T20:03:00,Laze Bilge,905397366205,ocalansagit@example.com,"850 Rasul Fall Suite 019, furt, İzmir",Kapya Biber(1 kg)
bcadd4f4-9283-4b35-902e-21f4bc148779,7,shipped,948.0,ptt,PTT38754377,yolda,2026-05-10,"İş yeri adresi, gündüz saatlerinde teslim.",2026-05-08T11:17:00,2026-05-08T13:17:00,Kader Bilir,905245855124,nevsal46@example.org,"5107 Bilender Plain Apt. 842, chester, Eskişehir","Nohut(4 kg), Sızma Zeytinyağı(4 litre), Brokoli(2 adet)"
de4c97da-4f48-42f9-a658-fee36c2c3b44,8,confirmed,278.0,,,,,Kapı zilini çalın lütfen.,2026-05-08T14:22:00,2026-05-08T21:22:00,Prof. Vâlâ Sakarya,905209961380,cbilge@example.com,"75433 Seyyide Fields, view, Eskişehir","Yoğurt(1 kg), Çam Balı(1 kavanoz)"
98fab9e6-f4b2-40ad-b345-a5f89ac8ba2a,9,preparing,56.0,,,,,Soğuk zincir gerekli.,2026-05-08T13:51:00,2026-05-08T22:51:00,Minibe Seblâ Tevetoğlu Zorlu,905504684531,kisakurekmehrigul@example.org,"60883 Şafak Cliff Suite 951, chester, Balıkesir",Brokoli(2 adet)
75a5fc36-376a-48e8-bcdc-75bae39e970c,10,confirmed,88.0,,,,,Soğuk zincir gerekli.,2026-05-08T10:27:00,2026-05-08T12:27:00,Uz. Gülev Arslan Bilir,905507067228,zenginsirivan@example.net,"500 Zorlu Walk, side, Antalya",Mandalina(4 kg)
